model,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,mkt_home,mkt_draw,mkt_away,odds_source,as_of,p_home,p_draw,p_away
dixon-coles,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1225,0.1905,0.6871
elo-poisson,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1521,0.217,0.6309
gbm,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.2715,0.2235,0.505
xg-dixon-coles,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.136,0.2069,0.6572
ensemble,E0,2023-08-11,Burnley,Man City,0,3,0.1011,0.1674,0.7314,PSCH,2023-07-28,0.1641,0.2119,0.6241
dixon-coles,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.4797,0.2569,0.2634
elo-poisson,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5034,0.2517,0.2449
gbm,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5878,0.2244,0.1878
xg-dixon-coles,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5308,0.2446,0.2246
ensemble,E0,2023-08-12,Newcastle,Aston Villa,5,1,0.5822,0.2329,0.1849,PSCH,2023-07-28,0.5258,0.245,0.2292
dixon-coles,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7678,0.1463,0.086
elo-poisson,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7331,0.1679,0.099
gbm,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7048,0.1376,0.1576
xg-dixon-coles,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7542,0.1532,0.0926
ensemble,E0,2023-08-12,Arsenal,Nott'm Forest,2,1,0.8176,0.1216,0.0608,PSCH,2023-07-28,0.7426,0.1515,0.106
dixon-coles,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6879,0.1943,0.1178
elo-poisson,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.5911,0.2267,0.1822
gbm,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6442,0.2048,0.151
xg-dixon-coles,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.7221,0.1775,0.1003
ensemble,E0,2023-08-12,Brighton,Luton,4,1,0.7625,0.1523,0.0852,PSCH,2023-07-28,0.6636,0.2013,0.1351
dixon-coles,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3027,0.2556,0.4417
elo-poisson,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3588,0.2695,0.3717
gbm,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3796,0.2339,0.3865
xg-dixon-coles,E0,2023-08-12,Bournemouth,West Ham,1,1,0.3559,0.2719,0.3722,PSCH,2023-07-28,0.3114,0.2618,0.4268
