dimension,bucket,matches,model_brier,market_brier,gap
favorite_strength,45-55%,1448,0.6261,0.6185,0.0076
favorite_strength,55-65%,1042,0.5611,0.5502,0.0108
favorite_strength,65-75%,630,0.441,0.4285,0.0126
favorite_strength,>75% fav,348,0.3123,0.2989,0.0134
favorite_strength,<45% fav,1818,0.6712,0.6534,0.0177
league,F1,928,0.5966,0.5887,0.0079
league,I1,1150,0.5827,0.5733,0.0094
league,SP1,1150,0.5782,0.5666,0.0115
league,D1,918,0.5845,0.5703,0.0142
league,E0,1140,0.5901,0.5702,0.0198
period,Aug-Sep,891,0.5735,0.5645,0.009
period,Oct-Dec,1581,0.5805,0.5685,0.012
period,Jan-May,2814,0.5932,0.5789,0.0142
