Div,season,team_title,squad_strength,squad_continuity,squad_players_known
D1,2015,Augsburg,0.17185,0.8561,20
D1,2015,Bayer Leverkusen,0.27397,0.8459,20
D1,2015,Bayern Munich,0.30223,0.8957,21
D1,2015,Borussia Dortmund,0.28005,0.9181,23
D1,2015,Borussia M.Gladbach,0.26737,0.9174,22
D1,2015,Darmstadt,0.16788,0.3937,8
D1,2015,Eintracht Frankfurt,0.20824,0.7887,22
D1,2015,FC Cologne,0.18691,0.8868,19
D1,2015,Hamburger SV,0.17347,0.9103,21
D1,2015,Hannover 96,0.13753,0.8521,20
D1,2015,Hertha Berlin,0.14543,0.9215,21
D1,2015,Hoffenheim,0.18341,0.8069,18
D1,2015,Ingolstadt,0.33889,0.008,1
D1,2015,Mainz 05,0.16858,0.7934,20
D1,2015,Schalke 04,0.21344,0.9088,22
D1,2015,VfB Stuttgart,0.23436,0.9151,21
D1,2015,Werder Bremen,0.19839,0.8959,22
D1,2015,Wolfsburg,0.25842,0.9847,23
D1,2016,Augsburg,0.17515,0.9325,21
D1,2016,Bayer Leverkusen,0.23322,0.9103,20
D1,2016,Bayern Munich,0.33711,0.9741,20
D1,2016,Borussia Dortmund,0.35205,0.9748,24
D1,2016,Borussia M.Gladbach,0.23715,0.9912,21
D1,2016,Darmstadt,0.18754,0.6852,18
D1,2016,Eintracht Frankfurt,0.14843,0.8223,17
D1,2016,FC Cologne,0.20832,0.9865,24
D1,2016,Freiburg,0.2319,0.1062,3
D1,2016,Hamburger SV,0.18152,0.8499,22
D1,2016,Hertha Berlin,0.16215,0.9547,18
D1,2016,Hoffenheim,0.19592,0.9223,20
D1,2016,Ingolstadt,0.18919,0.8516,18
D1,2016,Mainz 05,0.22029,0.9181,22
D1,2016,RasenBallsport Leipzig,0.51122,0.0908,2
D1,2016,Schalke 04,0.19701,0.9361,24
D1,2016,Werder Bremen,0.18856,0.9423,25
D1,2016,Wolfsburg,0.2264,0.7989,23
D1,2017,Augsburg,0.19171,0.9046,20
D1,2017,Bayer Leverkusen,0.21823,0.9023,21
D1,2017,Bayern Munich,0.37431,0.9773,22
D1,2017,Borussia Dortmund,0.29466,0.8959,23
D1,2017,Borussia M.Gladbach,0.22274,0.8684,19
D1,2017,Eintracht Frankfurt,0.17594,0.8466,22
D1,2017,FC Cologne,0.19395,0.9461,23
D1,2017,Freiburg,0.14992,0.79,17
D1,2017,Hamburger SV,0.13841,0.8418,19
D1,2017,Hannover 96,0.11515,0.2178,4
D1,2017,Hertha Berlin,0.19643,0.9354,22
D1,2017,Hoffenheim,0.24998,0.8737,21
D1,2017,Mainz 05,0.16801,0.8637,20
D1,2017,RasenBallsport Leipzig,0.25022,0.8693,19
D1,2017,Schalke 04,0.21675,0.9978,22
D1,2017,VfB Stuttgart,0.21995,0.3142,7
D1,2017,Werder Bremen,0.19439,0.7682,18
D1,2017,Wolfsburg,0.24536,0.8345,21
D1,2018,Augsburg,0.20983,0.9475,23
D1,2018,Bayer Leverkusen,0.24884,0.9904,19
D1,2018,Bayern Munich,0.36509,0.998,22
D1,2018,Borussia Dortmund,0.25417,0.9145,22
D1,2018,Borussia M.Gladbach,0.23786,0.8791,19
D1,2018,Eintracht Frankfurt,0.24575,0.8685,24
D1,2018,Fortuna Duesseldorf,0.17957,0.2958,7
D1,2018,Freiburg,0.14769,0.9476,21
D1,2018,Hannover 96,0.17324,0.9178,24
D1,2018,Hertha Berlin,0.1922,0.9629,21
D1,2018,Hoffenheim,0.21739,0.8592,21
D1,2018,Mainz 05,0.13305,0.7749,18
D1,2018,Nuernberg,0.02791,0.1202,3
D1,2018,RasenBallsport Leipzig,0.23002,0.9223,18
D1,2018,Schalke 04,0.18669,0.9399,24
D1,2018,VfB Stuttgart,0.19812,0.8722,20
D1,2018,Werder Bremen,0.18496,0.9666,20
D1,2018,Wolfsburg,0.16409,0.8888,22
D1,2019,Augsburg,0.21178,0.8636,23
D1,2019,Bayer Leverkusen,0.29113,0.9219,18
D1,2019,Bayern Munich,0.41631,0.9885,23
D1,2019,Borussia Dortmund,0.30607,0.9484,22
D1,2019,Borussia M.Gladbach,0.23137,0.9191,21
D1,2019,Eintracht Frankfurt,0.22482,0.8322,22
D1,2019,FC Cologne,0.17933,0.1704,4
D1,2019,Fortuna Duesseldorf,0.21046,0.8613,21
D1,2019,Freiburg,0.18907,0.9823,22
D1,2019,Hertha Berlin,0.24436,0.9182,27
D1,2019,Hoffenheim,0.25819,0.8292,22
D1,2019,Mainz 05,0.22583,0.9233,23
D1,2019,Paderborn,0.24294,0.0675,3
D1,2019,RasenBallsport Leipzig,0.31505,0.9417,23
D1,2019,Schalke 04,0.2033,0.9313,21
D1,2019,Union Berlin,0.21861,0.2386,5
D1,2019,Werder Bremen,0.20085,0.9623,26
D1,2019,Wolfsburg,0.21497,0.8036,17
D1,2020,Arminia Bielefeld,0.29141,0.0492,2
D1,2020,Augsburg,0.18191,0.9575,22
D1,2020,Bayer Leverkusen,0.27539,0.9722,26
D1,2020,Bayern Munich,0.39837,0.9944,26
D1,2020,Borussia Dortmund,0.33813,0.9171,20
D1,2020,Borussia M.Gladbach,0.31892,0.988,21
D1,2020,Eintracht Frankfurt,0.23808,0.9458,21
D1,2020,FC Cologne,0.18772,0.8485,20
D1,2020,Freiburg,0.2163,0.9273,20
D1,2020,Hertha Berlin,0.24536,0.9013,25
D1,2020,Hoffenheim,0.26575,0.9608,26
D1,2020,Mainz 05,0.19809,0.9408,24
D1,2020,RasenBallsport Leipzig,0.28442,0.9415,21
D1,2020,Schalke 04,0.21773,0.878,29
D1,2020,Union Berlin,0.15249,0.8592,20
D1,2020,VfB Stuttgart,0.31207,0.015,2
D1,2020,Werder Bremen,0.16919,0.9061,21
D1,2020,Wolfsburg,0.25069,0.8776,22
D1,2021,Arminia Bielefeld,0.09239,0.6934,15
D1,2021,Augsburg,0.16606,0.9026,22
D1,2021,Bayer Leverkusen,0.22393,0.8436,22
D1,2021,Bayern Munich,0.37269,0.9659,23
D1,2021,Bochum,0.22687,0.1188,2
D1,2021,Borussia Dortmund,0.28239,0.9426,26
D1,2021,Borussia M.Gladbach,0.2339,0.876,21
D1,2021,Eintracht Frankfurt,0.20405,0.8057,22
D1,2021,FC Cologne,0.20121,0.7945,18
