learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,brier,logloss,matches,note
0.03,7,40,5.0,0.5902,0.9906,5286,vary l2_regularization
0.03,7,40,0.1,0.5908,0.9913,5286,vary l2_regularization
0.03,7,40,1.0,0.5908,0.9915,5286,vary max_leaf_nodes
0.03,7,40,1.0,0.5908,0.9915,5286,vary l2_regularization
0.03,7,80,1.0,0.591,0.9919,5286,vary min_samples_leaf
0.03,7,20,1.0,0.5912,0.992,5286,vary min_samples_leaf
0.03,15,40,1.0,0.593,0.9952,5286,vary learning_rate
0.03,15,40,1.0,0.593,0.9952,5286,vary max_leaf_nodes
0.06,15,40,1.0,0.5931,0.9955,5286,baseline (current production values)
0.06,15,40,1.0,0.5931,0.9955,5286,vary learning_rate
0.03,31,40,1.0,0.595,0.9986,5286,vary max_leaf_nodes
0.1,15,40,1.0,0.5959,1.0,5286,vary learning_rate
